association	dataset	threshold value	standardized value
thiamphenicol-glycinate	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.36374
BRD-K69564473	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.28859
MAX_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
VZ in posterior parahippocampal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.05852
BRD-K47309161	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.27131
CL34	CCLE Cell Line Gene CNV Profiles	-1.0	-1.84374
probably	GeneRIF Biological Term Annotations	1.0	null
primary auditory cortex (core)_16 pcw_M_12879	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.26612
EJM	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.82793
BRD-K94439911	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.20826
MAZ_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K81457218	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.48772
Acute Myeloid Leukemia_LAML_TCGA-AB-2872-03A-01T-0735-13	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
SOX2-18692474-MESC-mouse	ChEA Transcription Factor Binding Site Profiles	1.0	null
trochlear nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.13594
GTEX-XYKS-1726-SM-4E3IO	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
posterior (caudal) superior temporal cortex (area 22c)_21 pcw_F_12365	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.4208
Right_Atrium	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	-1.0	-1.87581
H3K4me3_cardiac fibroblast_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-T6MN-0011-R6A-SM-32QP8	GTEx Tissue Sample Gene Expression Profiles	1.0	1.21881
ovary	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	-1.0	-0.976012
membrane part	GO Cellular Component Annotations 2015	1.0	null
GTEX-UJHI-0826-SM-4IHLM	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
BRD-K40814141	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.00439
H3K4me2_astrocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
LUC_FBS	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.14049
endocytosis	GeneRIF Biological Term Annotations	1.0	null
GlobusPallidus	BioGPS Human Cell Type and Tissue Gene Expression Profiles	1.0	0.916464
SIN3B-21632747-MESC-MOUSE	ChEA Transcription Factor Binding Site Profiles	1.0	null
BRD-K32370845	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.30266
H3K27ac_CD4 Memory Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-QMR6-0011-R2A-SM-32PKV	GTEx Tissue Sample Gene Expression Profiles	1.0	0.99375
lateral group of nuclei, right, ventral division	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	0.973707
BRD-K98061177	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.11226
H3K4me1_bone marrow_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
CHD1_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
protein complex	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.040371
BRD-K42964952	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.09081
BRD-K63093217	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.04818
Sarcoma_SARC_TCGA-HS-A5N9-01A-11R-A26T-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
cellular_component	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.308122
GTEX-RU72-0011-R6A-SM-2TF71	GTEx Tissue Sample Gene Expression Profiles	1.0	0.885316
SZ in posterior parahippocampal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.95573
GTEX-POYW-0726-SM-2XCEO	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.852712
GTEX-U4B1-0008-SM-4DXUW	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
CEBPB_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
FEM1B	Pathway Commons Protein-Protein Interactions	1.0	null
SNU1544	DepMap CRISPR Gene Dependency	1.0	4.32193
PTBP1	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-4719	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.0155
H3K4me3_LNCaP clone FGC_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
white	GeneRIF Biological Term Annotations	1.0	null
MXI1_HepG2_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K27ac_CD4+ CD25- IL17+ PMA-Ionomcyin stimulated Th17 Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
BRD-K75186244	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.49977
H3K4me3_CD4+ CD25- CD45RA+ Naive Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
OBSCN	Pathway Commons Protein-Protein Interactions	1.0	null
BACH1_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-TSE9-0008-SM-4DXT8	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
PACADD161	DepMap CRISPR Gene Dependency	1.0	2.65021
amygdaloid complex_24 pcw_M_12288	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.64523
BRD-K98976117	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.41742
VMCUB1	CCLE Cell Line Gene CNV Profiles	-1.0	-1.33865
mantle zone of r3Co	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.26415
Lung adenocarcinoma_LUAD_TCGA-78-7150-01A-21R-2039-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
MYC	ENCODE Transcription Factor Targets	1.0	null
Folium-tuber vermis (VII)	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.15829
BRD-K27616003	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.15318
hsa-miR-3667-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.99187
spanning component of plasma membrane	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.159658
DIP2B	Pathway Commons Protein-Protein Interactions	1.0	null
SLC25A10	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-3200-3p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.55165
CALU-3	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	2.23087
GTEX-QVJO-0011-R5A-SM-2S1QM	GTEx Tissue Sample Gene Expression Profiles	1.0	1.145
Primary somatosensory area, lower limb, layer 4	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.05325
GTEX-NPJ8-1526-SM-2D7VU	GTEx Tissue Sample Gene Expression Profiles	1.0	0.854374
H4K20me1_keratinocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Lung adenocarcinoma_LUAD_TCGA-86-7711-01A-11R-2066-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
CTCF_GM19239_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
PRKCA_knockdown_118_GSE27869	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	-1.0	-1.95231
superficial stratum of r9BL	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.13178
C8166	DepMap CRISPR Gene Dependency	1.0	3.0447
H3K4me3_cardiac fibroblast_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K36952018	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-4.01094
cell motility	GO Biological Process Annotations 2015	1.0	null
hsa-miR-4639-3p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.965816
MAP3K7	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me3_Caco-2_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
HKA1	DepMap CRISPR Gene Dependency	1.0	2.17322
ACACA	Pathway Commons Protein-Protein Interactions	1.0	null
Lung squamous cell carcinoma_LUSC_TCGA-77-7141-01A-11R-2045-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-V955-0726-SM-3GAFG	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
KM-12	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.70882
NCI-H1573	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.47915
comorbid	GeneRIF Biological Term Annotations	1.0	null
Thymus	BioGPS Human Cell Type and Tissue Gene Expression Profiles	-1.0	-1.27889
HELA	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	1.0	1.19754
medial group of nuclei, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.77959
embryo	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.059764
POLR2A_ECC-1_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-Q2AG-0011-R6A-SM-2HML7	GTEx Tissue Sample Gene Expression Profiles	1.0	1.01777
GTEX-OIZI-0626-SM-2XCEH	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
LGALS7B	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-T5JW-0426-SM-4DM7M	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
ATM	Pathway Commons Protein-Protein Interactions	1.0	null
IL16	Pathway Commons Protein-Protein Interactions	1.0	null
diencephalon	TISSUES Curated Tissue Protein Expression Evidence Scores	1.0	null
GTEX-OOBK-0008-SM-3NB27	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
MM1S	DepMap CRISPR Gene Dependency	1.0	2.64646
psychotic disorder	GWASdb SNP-Disease Associations	1.0	0.301324
BRD-K02076218	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.14476
GTEX-WH7G-0426-SM-3NMBJ	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
rare	GeneRIF Biological Term Annotations	1.0	null
Kidney renal clear cell carcinoma_KIRC_TCGA-CJ-5682-01A-11R-1541-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Sarcoma_SARC_TCGA-DX-A7EO-01A-11R-A36F-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Primary somatosensory area, lower limb	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.02792
CCNT2_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
primary motor cortex (area M1, area 4)_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-0.895842
GTEX-X585-0011-R1B-SM-46MVE	GTEx Tissue Sample Gene Expression Profiles	1.0	1.22969
H3K4me3_astrocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-QVUS-0011-R1A-SM-3GAD2	GTEx Tissue Sample Gene Expression Profiles	1.0	0.979911
GTEX-WH7G-1026-SM-4LVML	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
hsa-miR-4643	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.843347
RL	DepMap CRISPR Gene Dependency	1.0	2.2754
BRD-K19492738	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.17694
H3K4me3_fibroblast of pedal digit skin_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
SW 1463	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.990668
RKN	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.56981
Primary somatosensory area	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.0083
red nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-0.884368
neuronal cell line	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.409731
Scleroderma, Systemic	HuGE Navigator Gene-Phenotype Associations	1.0	null
hsa-miR-4700-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.880544
DNAJB12	Pathway Commons Protein-Protein Interactions	1.0	null
KD	DepMap CRISPR Gene Dependency	1.0	2.51776
oviduct	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.249329
brain	GeneRIF Biological Term Annotations	1.0	null
ELK1_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
primary somatosensory cortex (area S1, areas 3,1,2)_12 pcw_F_12835	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	0.833421
all	GWASdb SNP-Phenotype Associations	1.0	0.045382
Head and Neck squamous cell carcinoma_HNSC_TCGA-CV-7242-01A-11R-2016-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_small intestine_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
FOXA1-21572438-LNCAP-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
GTEX-NPJ8-0011-R11A-SM-2YUMS	GTEx Tissue Sample Gene Expression Profiles	1.0	1.14048
H3K4me3_H7_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
layer 1 of InsCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.32105
ROS-50	COSMIC Cell Line Gene Mutation Profiles	1.0	null
immediately	GeneRIF Biological Term Annotations	1.0	null
GTEX-RVPU-0011-R10A-SM-2XCAH	GTEx Tissue Sample Gene Expression Profiles	1.0	0.933001
VZ in frontal polar cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-0.965538
interacts	GeneRIF Biological Term Annotations	1.0	null
BRD-K62370517	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.23351
EVSA-T	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.70657
GTEX-T5JC-0011-R10A-SM-32PM2	GTEx Tissue Sample Gene Expression Profiles	1.0	1.31864
myb_16205643_primary_monocytes_gof_human_gpl570_gse2816	GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations	1.0	0.053689
SETDB1	ENCODE Transcription Factor Targets	1.0	null
EP300_HepG2_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HOXB5	Pathway Commons Protein-Protein Interactions	1.0	null
NCI-H1299	COSMIC Cell Line Gene Mutation Profiles	1.0	null
MYC	Pathway Commons Protein-Protein Interactions	1.0	null
HCC2270	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.12914
FOXC1	JASPAR Predicted Transcription Factor Targets	1.0	null
GTEX-TSE9-0011-R6A-SM-3DB7L	GTEx Tissue Sample Gene Expression Profiles	1.0	0.972859
GTEX-WFG7-1126-SM-4LMK3	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
AJAP1	Pathway Commons Protein-Protein Interactions	1.0	null
neuropeptide-S nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.09247
BRD-K58757743	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.38892
GTEX-NPJ7-2726-SM-2I3FT	GTEx Tissue Sample Gene Expression Profiles	1.0	0.849867
CTBP2	ENCODE Transcription Factor Targets	1.0	null
MAX_ECC-1_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-XLM4-2926-SM-4AT59	GTEx Tissue Sample Gene Expression Profiles	1.0	1.0114
Simple lobule, granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.42104
BRCA1	ENCODE Transcription Factor Targets	1.0	null
cilia	GeneRIF Biological Term Annotations	1.0	null
hsa-miR-4478	TargetScan Predicted Conserved microRNA Targets	1.0	0.075559
BRD-K59491482	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.15113
bromopride	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.08084
Skin Cutaneous Melanoma_SKCM_TCGA-EE-A20H-06A-11R-A18S-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Brain Lower Grade Glioma_LGG_TCGA-HT-8018-01A-11R-2404-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
RAD21	ENCODE Transcription Factor Targets	1.0	null
Vesicle-mediated transport	Reactome Pathways 2024	1.0	null
AGK	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-A10134527	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.3531
hsa-miR-3689a-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.40969
H3K9ac_HepG2_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me3_cortical plate_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
stachydrine-4469	CMAP Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
BRD-K07602825	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.0236
H3K4me1_G1E_mm9_3	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K84601599	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.01231
Lingula (I), granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.65127
H3K4me3_foreskin fibroblast_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
H3K9ac_Fetal Lung	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
membrane-bounded organelle	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
